"","country","week","sex","avAbNumber","avCrRate","avStRate","avDifAbs","avDifCrRate","avDifStRate","regCrRate","regStRate","actCrRate","actStRate","regDifAbs","regDifCrRate","regDifStRate"
"3428","Netherlands",51,"female",1581.8,0.00952605998774126,0.00897138604333948,372.2,0.00207193509227714,0.00160733506063755,0.0099436433108131,0.00911306475217105,0.0115979950800184,0.010578721103977,277.69999999999,0.0016543517692053,0.00146565635180598
"3429","Netherlands",51,"both",3065.2,0.00929990482586499,0.0102029954007323,843.8,0.00237294704896271,0.00203310506166477,0.0097838424118179,0.0102739902018603,0.0116728518748277,0.0122361004623971,629.899999999965,0.0018890094630098,0.00196211026053675
"3430","Netherlands",52,"male",1444.4,0.00883288894821586,0.0115194373421115,466.6,0.00265133368524434,0.00264774964232641,0.00913989517631564,0.0112073360917259,0.0114842226334602,0.0141671869844379,389.499999999993,0.00234432745714456,0.00295985089271201
"3431","Netherlands",52,"female",1563.2,0.00941501318173577,0.00887392156526931,392.8,0.00219485292702373,0.00166860809423088,0.00960456547947623,0.00884307631966185,0.0116098661087595,0.0105425296595002,337.299999999988,0.00200530062928327,0.00169945333983835
"3432","Netherlands",52,"both",3007.6,0.00912618955024501,0.0100150487072773,859.4,0.0024212441156436,0.00211007150433985,0.00937370881941726,0.00985503252834388,0.0115474336658886,0.0121251202116172,726.799999999974,0.00217372484647134,0.00227008768327331
"3433","Norway",1,"male",429.2,0.00840461750845892,0.0117476967655762,8.80000000000001,-1.03325719257499e-05,-0.000744200418967195,0.00777501192984281,0.010205242315583,0.00839428493653317,0.011003496346609,31.0000000000036,0.000619273006690358,0.000798254031026022
"3434","Norway",1,"female",495.2,0.00984065043270162,0.0095150478814681,-71.2,-0.00157341080230923,-0.00164570262912211,0.00969848816548512,0.00935561823660069,0.00826723963039239,0.00786934525234599,-74.2000000000005,-0.00143124853509273,-0.0014862729842547
"3435","Norway",1,"both",924.4,0.00911716081836684,0.010498973826055,-62.4,-0.00078585114142665,-0.00123807626882842,0.00872878401466093,0.00980427152253827,0.00833130967694019,0.00926089755722658,-43.1999999999971,-0.000397474337720739,-0.000543373965311686
"3436","Norway",2,"male",444.6,0.00870734676074586,0.0121069989680603,-0.600000000000023,-0.000198071619602651,-0.000898843199860465,0.0078015518096678,0.0100477984238345,0.00850927514114321,0.0112081557681999,35.4000000000051,0.000707723331475415,0.00116035734436536
"3437","Norway",2,"female",473,0.00940458815013976,0.00906269806478119,35,0.000500500840990748,0.000360547402239056,0.00818590001617026,0.00781527619137279,0.00990508899113051,0.00942324546702025,86.5999999999985,0.00171918897496025,0.00160796927564746
"3438","Norway",2,"both",917.6,0.00905339354568357,0.0104346496239339,34.4,0.000147774450194685,-0.000171035942593649,0.00799199564330333,0.00895786592270398,0.00920116799587826,0.0102636136813402,122.000000000007,0.00120917235257493,0.00130574775863625
"3439","Norway",3,"male",433.4,0.00848663921639815,0.0117670025968887,-11.4,-0.000398994825491763,-0.00116469356115651,0.00786954073843449,0.010512215945286,0.00808764439090639,0.0106023090357322,10.2000000000025,0.000218103652471902,9.00930904462627e-05
"3440","Norway",3,"female",473.8,0.00941915413737106,0.00911889673052377,-58.8,-0.00132739836705775,-0.0014037044374145,0.00847649812716289,0.00820284117948711,0.00809175577031331,0.00771519229310926,-20.9999999999964,-0.00038474235684958,-0.000487648886377844
"3441","Norway",3,"both",907.2,0.00894943276317979,0.0102938168867954,-70.2,-0.00085975039705573,-0.00126958576158081,0.00817035218478512,0.00918535975354018,0.00808968236612406,0.0090242311252146,-10.7999999999884,-8.06698186610628e-05,-0.000161128628325576
"3442","Norway",4,"male",445,0.00871686840289256,0.0121506469470648,-35,-0.000859204421206254,-0.00181520134159112,0.00755555299677324,0.00983672174539585,0.0078576639816863,0.0103354456054736,13.6000000000058,0.00030211098491306,0.000498723860077788
"3443","Norway",4,"female",439.8,0.0087430649537828,0.00849226490233802,12.2,7.01244635223034e-05,-3.78024575253925e-05,0.00790719261716455,0.00764680887885361,0.0088131894173051,0.00845446244481263,45.2000000000044,0.00090599680014055,0.000807653565959021
"3444","Norway",4,"both",884.8,0.00872979522107915,0.0100699380034059,-22.8,-0.000398485544138957,-0.00077074326123608,0.00773024171928727,0.00869623297311051,0.00833130967694019,0.00929919474216983,58.8000000000102,0.000601067957652923,0.000602961769059327
"3445","Norway",5,"male",424.4,0.00830842777988588,0.01156494281776,-29.4,-0.000738239309724689,-0.0016978862038934,0.00811290475530024,0.0107728548851141,0.00757018847016119,0.00986705661386664,-29.3999999999997,-0.000542716285139053,-0.00090579827124751
"3446","Norway",5,"female",470.8,0.00935744948645943,0.00903256354998671,-49.8,-0.0011487044760934,-0.00119342557697195,0.008897635128297,0.00865225820590709,0.00820874501036603,0.00783913797301476,-36.5999999999985,-0.00068889011793097,-0.000813120232892333
"3447","Norway",5,"both",895.2,0.00882903440342608,0.0101643403797177,-79.2,-0.000942318978387568,-0.00139801398418383,0.00850178693976045,0.00961367510858213,0.00788671542503851,0.0087663263955339,-65.9999999999982,-0.000615071514721937,-0.000847348713048236
"3448","Norway",6,"male",411.4,0.00805462859513712,0.0111850360969435,-3.39999999999998,-0.000235294681654169,-0.000893325200568217,0.00774210846071857,0.0101283645117983,0.00781933391348295,0.0102917108963753,2.90000000000055,7.72254527643783e-05,0.000163346384576948
"3449","Norway",6,"female",452.6,0.00899571656318499,0.00871610749134313,-64.6,-0.00143041237310893,-0.00147491283928397,0.00858173140949875,0.00818767660182457,0.00756530419007606,0.00724119465205917,-53.4999999999991,-0.00101642721942269,-0.000946481949765401
"3450","Norway",6,"both",864,0.00852166611736408,0.00981744170516957,-68,-0.000828252540978482,-0.00125294916757927,0.00815815407449996,0.00916012330395438,0.0076934135763856,0.0085644925375903,-50.5999999999967,-0.000464740498114362,-0.000595630766364085
